Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
downtown_filler_14,POI,POIName,,x,Oficina de Correos,,,,,,,,,,,,,
downtown_filler_15,POI,POIName,,x,Almacén Shamway,,,,,,,,,,,,,
downtown_filler_22,POI,POIName,,x,Rosquillas Gonuts,,,,,,,,,,,,,
downtown_filler_23,POI,POIName,,x,Banco HNN,,,,,,,,,,,,,
downtown_filler_24,POI,POIName,,x,Telemarketing de Ann Hoing,,,,,,,,,,,,,
downtown_filler_25,POI,POIName,,x,Pizzería Mamma,,,,,,,,,,,,,
downtown_filler_27,POI,POIName,,x,Lavandería OK,,,,,,,,,,,,,
downtown_filler_30,POI,POIName,,x,Radio KLZ,,,,,,,,,,,,,
downtown_filler_31,POI,POIName,,x,Deshielo del Bajo Mundo,,,,,,,,,,,,,
downtown_filler_park_01,POI,POIName,,x,Parque Loan Tree,,,,,,,,,,,,,
downtown_filler_park_02,POI,POIName,,x,Parque Gazebo,,,,,,,,,,,,,
downtown_filler_park_03,POI,POIName,,x,Parque Crosswalk,,,,,,,,,,,,,
downtown_filler_park_04,POI,POIName,,x,Parque Detour,,,,,,,,,,,,,
downtown_filler_park_05,POI,POIName,,x,Parque Arch,,,,,,,,,,,,,
downtown_filler_plaza_01,POI,POIName,,x,Plaza del Obelisco,,,,,,,,,,,,,
downtown_filler_plaza_02,POI,POIName,,x,Plaza Bajo del Agua,,,,,,,,,,,,,
downtown_filler_plaza_03,POI,POIName,,x,Paso de la Plaza Bajo del Agua,,,,,,,,,,,,,
downtown_filler_plaza_04,POI,POIName,,x,Plaza Jardín,,,,,,,,,,,,,
downtown_filler_plaza_05,POI,POIName,,x,Plaza del Recuerdo,,,,,,,,,,,,,
downtown_park_01,POI,POIName,,x,Parque Shady Pointe,,,,,,,,,,,,,
downtown_park_02,POI,POIName,,x,Plaza Federal,,,,,,,,,,,,,
downtown_park_03,POI,POIName,,x,Plaza del Ayuntamiento,,,,,,,,,,,,,
downtown_parking_lot_01,POI,POIName,,x,Punto de Evacuación,,,,,,,,,,,,,
downtown_strip_01,POI,POIName,,x,Palacio Flushing Rule,,,,,,,,,,,,,
downtown_strip_02,POI,POIName,,x,Plaza Richard Munchz,,,,,,,,,,,,,
downtown_strip_03,POI,POIName,,x,Tienda de Pete,,,,,,,,,,,,,
downtown_strip_04,POI,POIName,,x,Cruce de Joe,,,,,,,,,,,,,
downtown_strip_05,POI,POIName,,x,Mercado del Centro,,,,,,,,,,,,,
downtown_strip_07,POI,POIName,,x,Alquiler de Vehiculos Heart,,,,,,,,,,,,,
downtown_strip_09,POI,POIName,,x,Panadería Pop's & Bel's,,,,,,,,,,,,,
downtown_strip_10,POI,POIName,,x,La Trampa de las Tetas,,,,,,,,,,,,,
downtown_strip_11,POI,POIName,,x,Club de Hombres Diamond's,,,,,,,,,,,,,
downtown_strip_12,POI,POIName,,x,Cuartel General NFD,,,,,,,,,,,,,
factory_01,POI,POIName,,x,Fábrica Shamway,,,,,,,,,,,,,
factory_02,POI,POIName,,x,Fábrica Shotgun Messiah,,,,,,,,,,,,,
factory_03,POI,POIName,,x,Fábrica Pop-N-Pills,,,,,,,,,,,,,
farm_01,POI,POIName,,x,Rancho Jericho,,,,,,,,,,,,,
farm_02,POI,POIName,,x,Campos de Espantapájaros,,,,,,,,,,,,,
farm_03,POI,POIName,,x,Granja Familiar Huenink,,,,,,,,,,,,,
farm_04,POI,POIName,,x,Centro Veterinario,,,,,,,,,,,,,
farm_05,POI,POIName,,x,Granjas Ardientes,,,,,,,,,,,,,
farm_07,POI,POIName,,x,El Cerdo Sombrío,,,,,,,,,,,,,
farm_08,POI,POIName,,x,Granja Sweet Honey Pot,,,,,,,,,,,,,
farm_10,POI,POIName,,x,Granja Bed-n-Bath,,,,,,,,,,,,,
farm_11,POI,POIName,,x,Granja Smithstone Silos,,,,,,,,,,,,,
farm_12,POI,POIName,,x,Granja Abandonada Shady Shed,,,,,,,,,,,,,
farm_13,POI,POIName,,x,Granja Mason,,,,,,,,,,,,,
farm_14,POI,POIName,,x,Granja Hersh,,,,,,,,,,,,,
farm_15,POI,POIName,,x,Rancho Hogzilla LLC,,,,,,,,,,,,,
farm_16,POI,POIName,,x,Granja de la Bruja Judie,,,,,,,,,,,,,
farm_17,POI,POIName,,x,Museo OVNI de McPherson,,,,,,,,,,,,,
fastfood_01,POI,POIName,,x,Pete Al Asecho,,,,,,,,,,,,,
fastfood_02,POI,POIName,,x,Comida Rapida Harry's,,,,,,,,,,,,,
fastfood_03,POI,POIName,,x,Pajarito Azul,,,,,,,,,,,,,
fastfood_04,POI,POIName,,x,Comida Rapida,,,,,,,,,,,,,
fastfood_05,POI,POIName,,x,Restaurante Beavers,,,,,,,,,,,,,
fastfood_06,POI,POIName,,x,Restaurante Burgcaneer,,,,,,,,,,,,,
fastfood_07,POI,POIName,,x,Pizzería Mamma Nueva,,,,,,,,,,,,,
field_concert_01,POI,POIName,,x,Anfiteatro Shady Woods,,,,,,,,,,,,,
fire_station_01,POI,POIName,,x,Bomberos 7,,,,,,,,,,,,,
fire_station_02,POI,POIName,,x,Bomberos 8,,,,,,,,,,,,,
fire_station_03,POI,POIName,,x,Bomberos Navezgane #3,,,,,,,,,,,,,
fire_station_04,POI,POIName,,x,Bomberos NFD 4,,,,,,,,,,,,,
football_stadium,POI,POIName,,x,Estadio Navezgane,,,,,,,,,,,,,
funeral_home_01,POI,POIName,,x,Funeraria Am-I-Gone,,,,,,,,,,,,,
gas_station_01,POI,POIName,,x,Gasolinera Pass-N-Gas #01,,,,,,,,,,,,,
gas_station_02,POI,POIName,,x,Gasolinera Pass-N-Gas #02,,,,,,,,,,,,,
gas_station_03,POI,POIName,,x,Gasolinera Pass-N-Gas #03,,,,,,,,,,,,,
gas_station_04,POI,POIName,,x,Gasolinera Pass-N-Gas #04,,,,,,,,,,,,,
gas_station_05,POI,POIName,,x,Gasolinera Pass-N-Gas #05,,,,,,,,,,,,,
gas_station_06,POI,POIName,,x,Gasolinera Pass-N-Gas #06,,,,,,,,,,,,,
gas_station_07,POI,POIName,,x,Gasolinera Pass-N-Gas #07,,,,,,,,,,,,,
gas_station_08,POI,POIName,,x,Gasolinera Pass-N-Gas #08,,,,,,,,,,,,,
gas_station_09,POI,POIName,,x,Gasolinera Pass-N-Gas #09,,,,,,,,,,,,,
gas_station_10,POI,POIName,,x,Gasolinera Pass-N-Gas #10,,,,,,,,,,,,,
gas_station_11,POI,POIName,,x,El Relleno de Jerry,,,,,,,,,,,,,
gas_station_12,POI,POIName,,x,Plaza Pass-N-Gas,,,,,,,,,,,,,
gravestowne_city_blk_01,POI,POIName,,x,Ciudad Gravestowne,,,,,,,,,,,,,
gravestowne_city_blk_half,POI,POIName,,x,Ciudad Gravestowne,,,,,,,,,,,,,
gravestowne_city_blk_quarter,POI,POIName,,x,Ciudad Gravestowne,,,,,,,,,,,,,
gravestowne_city_sign_01,POI,POIName,,x,Ciudad Gravestowne,,,,,,,,,,,,,
gravestowne_street_crater_01,POI,POIName,,x,Ciudad Gravestowne,,,,,,,,,,,,,
hospital_01,POI,POIName,,x,Hospital General Navezgane,,,,,,,,,,,,,
hotel_01,POI,POIName,,x,Hotel Zombona,,,,,,,,,,,,,
hotel_02,POI,POIName,,x,Hotel Haven,,,,,,,,,,,,,
hotel_03,POI,POIName,,x,Habitaciones 7 Días,,,,,,,,,,,,,
hotel_04,POI,POIName,,x,Posada Tranquila,,,,,,,,,,,,,
hotel_new_01,POI,POIName,,x,Hotel Sandy Springs,,,,,,,,,,,,,
hotel_ostrich,POI,POIName,,x,Hotel Ostrich,,,,,,,,,,,,,
house_burnt_01,POI,POIName,,x,Residencia Owens,,,,,,,,,,,,,
house_burnt_02,POI,POIName,,x,Residencia Paciotti,,,,,,,,,,,,,
house_burnt_03,POI,POIName,,x,Residencia Jacobs,,,,,,,,,,,,,
house_burnt_04,POI,POIName,,x,Residencia Rendon,,,,,,,,,,,,,
house_burnt_05,POI,POIName,,x,Residencia Byington,,,,,,,,,,,,,
house_burnt_06,POI,POIName,,x,Mansión Seedy,,,,,,,,,,,,,
house_construction_01,POI,POIName,,x,Residencia Roland,,,,,,,,,,,,,
house_construction_02,POI,POIName,,x,Construcción Kodiak,,,,,,,,,,,,,
house_construction_03,POI,POIName,,x,Construcción 1ª Garaje,,,,,,,,,,,,,
house_construction_04,POI,POIName,,x,Domicilio Desarraigado,,,,,,,,,,,,,
house_construction_05,POI,POIName,,x,Mansión Deshabitada,,,,,,,,,,,,,
house_country_01,POI,POIName,,x,Residencia Wango Barndo,,,,,,,,,,,,,
house_modern_01,POI,POIName,,x,Residencia Nairn,,,,,,,,,,,,,
house_modern_02,POI,POIName,,x,Residencia Nightstar,,,,,,,,,,,,,
house_modern_03,POI,POIName,,x,Residencia Draycott,,,,,,,,,,,,,
house_modern_04,POI,POIName,,x,Residencia Erickson,,,,,,,,,,,,,
house_modern_05,POI,POIName,,x,Residencia Señor Drogas,,,,,,,,,,,,,
house_modern_06,POI,POIName,,x,Residencia Barniskis,,,,,,,,,,,,,
house_modern_07,POI,POIName,,x,Residencia LaGrega,,,,,,,,,,,,,
house_modern_08,POI,POIName,,x,Residencia Contino,,,,,,,,,,,,,
house_modern_09,POI,POIName,,x,Residencia Rua,,,,,,,,,,,,,
house_modern_10,POI,POIName,,x,Residencia Bullis-Bates,,,,,,,,,,,,,
house_modern_11,POI,POIName,,x,Residencia Strogatz,,,,,,,,,,,,,
house_modern_12,POI,POIName,,x,Residencia Eisele,,,,,,,,,,,,,
house_modern_13,POI,POIName,,x,Residencia Hinton,,,,,,,,,,,,,
house_modern_14,POI,POIName,,x,Residencia Bennett,,,,,,,,,,,,,
house_modern_15,POI,POIName,,x,Residencia Burnett,,,,,,,,,,,,,
house_modern_16,POI,POIName,,x,Residencia Haug,,,,,,,,,,,,,
house_modern_17,POI,POIName,,x,Casa Sinkhole,,,,,,,,,,,,,
house_modern_18,POI,POIName,,x,Residencia Don Vittorio Spagetto,,,,,,,,,,,,,
house_modern_19,POI,POIName,,x,"Casa ""Los ""Sueños Rotos",,,,,,,,,,,,,
house_modern_20,POI,POIName,,x,Residencia Barbosa,,,,,,,,,,,,,
house_modern_21,POI,POIName,,x,Residencia Hellenes,,,,,,,,,,,,,
house_modern_22,POI,POIName,,x,Residencia Johansen,,,,,,,,,,,,,
house_modern_23,POI,POIName,,x,Residencia Dr. Karen Higashi,,,,,,,,,,,,,
house_modern_24,POI,POIName,,x,Residencia Jeffelon Zuckergates,,,,,,,,,,,,,
house_modern_25,POI,POIName,,x,Residencia Rosilyn,,,,,,,,,,,,,
house_modern_26,POI,POIName,,x,La Última Fiesta en Casa,,,,,,,,,,,,,
house_modern_27,POI,POIName,,x,Residencia Almeida,,,,,,,,,,,,,
house_modern_28,POI,POIName,,x,Residencia Pantelli,,,,,,,,,,,,,
house_modern_29,POI,POIName,,x,Residencia The Parkins-Jordaan,,,,,,,,,,,,,
house_modern_30,POI,POIName,,x,Residencia Towersley,,,,,,,,,,,,,
house_old_bungalow_01,POI,POIName,,x,Residencia The Vaecon,,,,,,,,,,,,,
house_old_bungalow_02,POI,POIName,,x,Residencia T. Thornbury,,,,,,,,,,,,,
house_old_bungalow_03,POI,POIName,,x,Casa de Jack Canada,,,,,,,,,,,,,
house_old_bungalow_04,POI,POIName,,x,Residencia Wotton,,,,,,,,,,,,,
house_old_bungalow_05,POI,POIName,,x,Residencia Klemm,,,,,,,,,,,,,
house_old_bungalow_06,POI,POIName,,x,Problema de Alcantarillado,,,,,,,,,,,,,
house_old_bungalow_07,POI,POIName,,x,La Casa del Cinéfilo,,,,,,,,,,,,,
house_old_bungalow_08,POI,POIName,,x,Residencia McKean,,,,,,,,,,,,,
house_old_bungalow_09,POI,POIName,,x,Residencia Powell,,,,,,,,,,,,,
house_old_bungalow_10,POI,POIName,,x,Residencia Crow,,,,,,,,,,,,,
house_old_bungalow_11,POI,POIName,,x,Residencia Johnnytown,,,,,,,,,,,,,
house_old_bungalow_12,POI,POIName,,x,Residencia Reber,,,,,,,,,,,,,
house_old_gambrel_01,POI,POIName,,x,Residencia Hestnes,,,,,,,,,,,,,
house_old_gambrel_02,POI,POIName,,x,Residencia Richmond,,,,,,,,,,,,,
house_old_gambrel_03,POI,POIName,,x,Jabalíes de Bob y Maíz de Carl,,,,,,,,,,,,,
house_old_gambrel_04,POI,POIName,,x,Residencia Bert Englund,,,,,,,,,,,,,
house_old_mansard_01,POI,POIName,,x,Residencia Brown,,,,,,,,,,,,,
house_old_mansard_02,POI,POIName,,x,Residencia Mortician,,,,,,,,,,,,,
house_old_mansard_03,POI,POIName,,x,Residencia Brett,,,,,,,,,,,,,
house_old_mansard_04,POI,POIName,,x,Residencia Hyde,,,,,,,,,,,,,
house_old_mansard_05,POI,POIName,,x,Mansión Huskie,,,,,,,,,,,,,
house_old_mansard_06,POI,POIName,,x,Motel Fates,,,,,,,,,,,,,
house_old_mansard_07,POI,POIName,,x,Residencia Wright,,,,,,,,,,,,,
house_old_modular_01,POI,POIName,,x,Residencia Purser,,,,,,,,,,,,,
house_old_modular_02,POI,POIName,,x,Residencia Bill Gearz,,,,,,,,,,,,,
house_old_modular_03,POI,POIName,,x,El Acumulador de Animales,,,,,,,,,,,,,
house_old_modular_04,POI,POIName,,x,Residencia Wagner,,,,,,,,,,,,,
house_old_modular_05,POI,POIName,,x,Residencia Gilbert,,,,,,,,,,,,,
house_old_modular_06,POI,POIName,,x,Residencia Cook's,,,,,,,,,,,,,
house_old_modular_07,POI,POIName,,x,Residencia Spark's,,,,,,,,,,,,,
house_old_modular_08,POI,POIName,,x,Residencia Doll,,,,,,,,,,,,,
house_old_pyramid_01,POI,POIName,,x,Residencia D. Smith,,,,,,,,,,,,,
house_old_pyramid_02,POI,POIName,,x,Residencia McElveen,,,,,,,,,,,,,
house_old_pyramid_03,POI,POIName,,x,La Casa del Cartel,,,,,,,,,,,,,
house_old_pyramid_04,POI,POIName,,x,El Barranco,,,,,,,,,,,,,
house_old_pyramid_05,POI,POIName,,x,La Caña,,,,,,,,,,,,,
house_old_ranch_01,POI,POIName,,x,Residencia Wetz,,,,,,,,,,,,,
house_old_ranch_02,POI,POIName,,x,Residencia Redchurch,,,,,,,,,,,,,
house_old_ranch_03,POI,POIName,,x,Residencia Goldsmith,,,,,,,,,,,,,
house_old_ranch_04,POI,POIName,,x,Residencia Jensen,,,,,,,,,,,,,
house_old_ranch_05,POI,POIName,,x,Residencia McMillin,,,,,,,,,,,,,
house_old_ranch_06,POI,POIName,,x,Residencia Huenink,,,,,,,,,,,,,
house_old_ranch_07,POI,POIName,,x,Residencia Brumit,,,,,,,,,,,,,
house_old_ranch_08,POI,POIName,,x,Residencia Fermier,,,,,,,,,,,,,
house_old_ranch_09,POI,POIName,,x,Residencia McCormick,,,,,,,,,,,,,
house_old_ranch_10,POI,POIName,,x,Residencia Malone,,,,,,,,,,,,,
house_old_ranch_11,POI,POIName,,x,Residencia Hoarder,,,,,,,,,,,,,
house_old_ranch_12,POI,POIName,,x,Residencia McStab,,,,,,,,,,,,,
house_old_ranch_13,POI,POIName,,x,Residencia Serrano,,,,,,,,,,,,,
house_old_spanish_01,POI,POIName,,x,Residencia Serrano,,,,,,,,,,,,,
house_old_tudor_01,POI,POIName,,x,Residencia Asgård,,,,,,,,,,,,,
house_old_tudor_02,POI,POIName,,x,Residencia Williams,,,,,,,,,,,,,
house_old_tudor_03,POI,POIName,,x,Residencia Zeigler,,,,,,,,,,,,,
house_old_tudor_04,POI,POIName,,x,Residencia R. Thornbury,,,,,,,,,,,,,
house_old_tudor_05,POI,POIName,,x,Residencia McLemore,,,,,,,,,,,,,
house_old_tudor_06,POI,POIName,,x,Residencia Rippon,,,,,,,,,,,,,
house_old_victorian_01,POI,POIName,,x,Mansión Taylor,,,,,,,,,,,,,
house_old_victorian_02,POI,POIName,,x,Residencia Lopez,,,,,,,,,,,,,
house_old_victorian_03,POI,POIName,,x,Residencia Zavislak,,,,,,,,,,,,,
house_old_victorian_04,POI,POIName,,x,Residencia Neckarski,,,,,,,,,,,,,
house_old_victorian_05,POI,POIName,,x,Residencia Perkel,,,,,,,,,,,,,
house_old_victorian_06,POI,POIName,,x,Residencia Sandvik,,,,,,,,,,,,,
house_old_victorian_07,POI,POIName,,x,Residencia Schweizer,,,,,,,,,,,,,
house_old_victorian_08,POI,POIName,,x,Residencia Kenvyn,,,,,,,,,,,,,
house_old_victorian_09,POI,POIName,,x,Residencia Grand Forks,,,,,,,,,,,,,
house_old_victorian_10,POI,POIName,,x,Residencia Curren,,,,,,,,,,,,,
house_old_victorian_11,POI,POIName,,x,Residencia Philippe,,,,,,,,,,,,,
house_old_victorian_12,POI,POIName,,x,Los Kostecky,,,,,,,,,,,,,
house_ultramodern_12,POI,POIName,,x,Residencia Dr. Karen Higashi,,,,,,,,,,,,,
